127.0.0.1 - - [16/Mar/2024:11:35:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:35:28 +0530] "GET /OnlineMobileShoppingSystem/index.jsp HTTP/1.1" 200 17514
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:35:28 +0530] "GET /OnlineMobileShoppingSystem/productImages/Apple%20iphone%2015%20pro%20max.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:35:28 +0530] "GET /OnlineMobileShoppingSystem/productImages/Apple%20iphone%2015.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:35:28 +0530] "GET /OnlineMobileShoppingSystem/productImages/Apple%20iphone%2015%20pro.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:35:28 +0530] "GET /OnlineMobileShoppingSystem/productImages/14%20plus.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:35:28 +0530] "GET /OnlineMobileShoppingSystem/productImages/Apple%2013.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:35:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:35:31 +0530] "GET /OnlineMobileShoppingSystem/login.jsp HTTP/1.1" 200 6032
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:35:40 +0530] "POST /OnlineMobileShoppingSystem/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:35:41 +0530] "GET /OnlineMobileShoppingSystem/admin.jsp HTTP/1.1" 200 21915
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:35:41 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/user3.png HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:35:41 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/user1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:36:17 +0530] "POST /OnlineMobileShoppingSystem/ProductOperation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:36:17 +0530] "GET /OnlineMobileShoppingSystem/admin.jsp HTTP/1.1" 200 22889
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:36:17 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/user3.png HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:37:45 +0530] "POST /OnlineMobileShoppingSystem/ProductOperation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:37:45 +0530] "POST /OnlineMobileShoppingSystem/ProductOperation HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:37:45 +0530] "POST /OnlineMobileShoppingSystem/ProductOperation HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:11:37:45 +0530] "GET /OnlineMobileShoppingSystem/admin.jsp HTTP/1.1" 200 23589
