127.0.0.1 - - [25/Apr/2024:17:09:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:34 +0530] "GET /OnlineMobileShoppingSystem/index.jsp HTTP/1.1" 200 76183
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:34 +0530] "GET /OnlineMobileShoppingSystem/js/script.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:34 +0530] "GET /OnlineMobileShoppingSystem/userProfilePic/ HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:34 +0530] "GET /OnlineMobileShoppingSystem/css/style.css HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:34 +0530] "GET /OnlineMobileShoppingSystem/images/emaill.png HTTP/1.1" 200 4770
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:34 +0530] "GET /OnlineMobileShoppingSystem/images/phonee.png HTTP/1.1" 200 40023
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:34 +0530] "GET /OnlineMobileShoppingSystem/images/banner1.png HTTP/1.1" 200 122533
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:34 +0530] "GET /OnlineMobileShoppingSystem/images/banner2.png HTTP/1.1" 200 131364
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/images/banner3.png HTTP/1.1" 200 124093
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/pixel%207%20pro.jpg HTTP/1.1" 200 5034
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/s%2024.jpg HTTP/1.1" 200 5336
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/oneplus%20nord3.jpg HTTP/1.1" 200 6342
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20edge%2040.jpg HTTP/1.1" 200 34371
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/pixel%206.jpg HTTP/1.1" 200 36080
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20razor.jpg HTTP/1.1" 200 7864
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/vivo%2029e.jpg HTTP/1.1" 200 25739
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/infinix%20smart8.jpg HTTP/1.1" 200 19935
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/Apple%20iphone%2015%20pro.jpg HTTP/1.1" 200 30887
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/Apple%20iphone%2015%20pro%20max.jpeg HTTP/1.1" 200 40476
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/s21%20fe.jpg HTTP/1.1" 200 10806
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/realme%20narzo%2070.jpg HTTP/1.1" 200 23998
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/Apple%20iphone%2015.jpeg HTTP/1.1" 200 3330
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/14%20plus.jpeg HTTP/1.1" 200 5000
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/s%20z.jpg HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/vivo%20y2000.jpg HTTP/1.1" 200 21459
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/infinix%20hot%2030.jpg HTTP/1.1" 200 33905
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/Apple%2013.jpeg HTTP/1.1" 200 4188
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20edge%20fusion.jpg HTTP/1.1" 200 3680
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/pixel%208.jpg HTTP/1.1" 200 28445
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/g84.jpg HTTP/1.1" 200 8030
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 200 8068
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/infinix%20zero%2030.jpg HTTP/1.1" 200 6580
0:0:0:0:0:0:0:1 - - [25/Apr/2024:17:09:35 +0530] "GET /OnlineMobileShoppingSystem/productImages/s%2024%20simple.jpg HTTP/1.1" 200 15849
